TestName,Key,TestNumber,Low Limit,High Limit,Units,TestStand Test Name,,,
IVIOKGD,Start,1,0,3,uA,IVSU_LowPower_Initial,,,
,End,2,65,85,uA,IVSU_State0x00_Initial,,,
,,,,,,,,,`
Initial_States,Start,1,65,85,uA,IVSU_State0x0F_Initial,,,
,End,2,65,85,uA,IVSU_State0xF0_Initial,,,
,,,,,,,,,
Rfree_Initial,Start,1,395k,3M,ohm,RF1,,,
,,2,395k,3M,ohm,RF2,,,
,,3,395k,3M,ohm,RF3,,,
,End,4,395k,3M,ohm,RF4,,,
,,,,,,,,,
Ron_Initial,Start,1,0.35,3,ohm,RF1,,,
,,2,0.35,3,ohm,RF2,,,
,,3,0.35,3,ohm,RF3,,,
,End,4,0.35,3,ohm,RF4,,,
,,,,,,,,,
Ron_Conditioned,Start,1,0.8,1.6,ohm,RF1,,,
,,2,0.8,1.6,ohm,RF2,,,
,,3,0.8,1.6,ohm,RF3,,,
,End,4,0.8,1.6,ohm,RF4,,,
,,,,,,,,,
Butterfly,Start,55,33,39,V,R_VPI,,,
,End,56,30,39,V,R_VRL,,,
,,,,,,,,,
Rshunt,Start,1,10,20,ohm,Rshunt_RF1,,,
,,2,10,20,ohm,Rshunt_RF2,,,
,,3,10,20,ohm,Rshunt_RF3,,,
,End,4,10,20,ohm,Rshunt_RF4,,,
,,,,,,,,,
Guardian,Start,1,1,5,ohm,GuardianPilot_On,,,
,End,2,255k,305k,ohm,GuardianPilot_Off,,,
,,,,,,,,,
Final_States,Start,1,50,100,uA,IVSU_State0x0F_Final,,,
,End,2,50,100,uA,IVSU_State0xF0_Final,,,
,,,,,,,,,
Rfree_Final,Start,1,395k,445k,ohm,RF1,,,
,,2,395k,445k,ohm,RF2,,,
,,3,445k,495k,ohm,RF3,,,
,End,4,445k,495k,ohm,RF4,,,
,,,,,,,,,
,,,,,,,,,
Reverse_IVIOKGD,Start,1,65,85,uA,IVSU_State0x00_Final,,,
,End,2,0,3,uA,IVSU_LowPower_Final,,,
